English,South Azerbaijani,Evaluation,Fine-grained evaluation,Error severity,Corrected South Azerbaijani translation
Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,پولیس دئیرکی لو پیکولونون گوجو هامیدان چوخدور چون پالرمودا پراونزانونون ساغ الی اولوب و چوخلو تجربهسی اونو کهنه نسلین رئیسلری اوچون، کی پراونزانونون امکانی اولان قدر گؤزدن اوزاخ قالیب عین حالدا گوج شبکهسینی گوجلندیرمک سیاستینین دالیسیجان گئدیرمیشلر، احتراملی المشیدیر.,,,,
"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","پراونزانو ۱۹۹۲-ده مافیا ساواشچیلاری جیوانی فالکونی و پائولو بورسلینونون اؤلومونه باعث اولان دؤلت ایله رینا سببلی ساواشا سون قویاندا، بو رئیسلری ایش اوستونه گتیردی.""",,,,
Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,اپل-ین مدیرعاملی استیو جابز صحنهیه چیخیب آیفنونون لی شالواریندان چیخارتماق ایله بو دستگاهی اوزه چیخاردیب.,,,,
"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","او ۲ ساعاتلیق سؤزلرینین آراسیندا دئدی کی ""اپل تیلفونو تازادان یارالداجاق، بیز بوگون تاریخ یارالداجاقیق.""",,,,
"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.",برزیللاپبویوهرومیکاتولیکمملکتدنیادادی،رومیکاتولیککلیساداداهاداهااعلامالییپهمجنسلرینازدواجینقانونیاولماقیننبومملکتدهمخالفتائلیپدی.,,,,
"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",10 ایلدیبرزیلننملیکنگرهسیقانونیالماقنبارهسیندهبحثالیپدی،هابلهغیرمذهبیازدواجلارفقطریوگرانددوسولداقانونیدیلر.,,,,
"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",اصلیلایحهنیسائوپائولونینقاباخکیشهرداریمارتاساپلیسییازمشدی. پیشنهادالموشقانونمتمماولاننانسوراایندیروبرتوجفرسونناللرینددی.,,,,
Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,اعتراض ائلیننر امیدلری واردی بیر طومار یازسینلار کی 1.2 میلیون امضا اوندا اولسون کی اونی نوامبردا ملی کنگریه ارائه ائله سیننر.,,,,
"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",مارچن20 سیندهشرقیساحلاجتماعیحقوقیمرکزدهمسکنکلاهبرداریسینقربانیلارناگورهبیرجلسهبرگزاراولدیاونانسوراکیمعلوماولدیچوخخانوادهلراخراجاولماقنقاباقندادورماقاگورهحقوقیکمهایسدیردلر.,,,,
"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.",اوواخ کی خانواده لر بیر بیرینه ددیلر نه اتفاق اولارا دوشوپدی، خانواده لرین چوخی بولدولر کی کارولین ویلسون کی OHA ده ایشلیردی اولارین تضمینی سپرده لرین اوررییپدی و شهردن قاچپ.,,,,
"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",لاکوودگاردنزنمستاجرلریفکرالیللرممکندی40 خانوادهیااونانچوخدااولاکیاخراجاولاجاخلارچوناولاربولدولرکیOHAپلیسیایندیاوبیسیعمومیمسکنمالکیتلریناوکلنددهکیممکندیمسکنکلاهبرداریسیندهدرگیرالوپلاربررسیائلیر.,,,,
"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",بوگروهنمایشیموئیجنگیادبودناستادیومنداکی9000 نفرقراریدیاونداشرکتالیلرلغوالدیوطرفدارلاردانعذرخواهلخالدی.,,,,
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",گروهنمدیریتشرکتیHKشرکتیکنسرتیسپتامبرن20 سیندهلغوالینده،هچدلیلدمدیاماساباغیتدارکاتیعلتلریمقصرتاندی.,,,,
"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",مشهوریونانلیوکیللرساکیسکچاگیوگلونانجورجنیکولاکوپولوسآتننکوریدالوسزندانندازندانیالوپلارچونفسادناناختلاسامحکومائلموشدولار.,,,,
"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.",بوناگورهبیربآبریچلخقاضیلارن،ویللرن،حقوقیمشاورلرنودادگستریوکیللرنغیرقانونیایشلرینفاشاولماقیننگچنایللردهیونانحقوقیجامعهسیندهایجادالوپ.,,,,
"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","نچههفتهقاباخ،اونانسوراکیخبرنگارماکیستریانتافیلوپولوسطریقینناطلاعاتاونونمشهورتلویزیونبرنامهسینده""زونگا""داآلفاTVداپخشاولدی،پترسمانتووالوسکیمجلسیننمایندهسیننوکیلدیاستعفاوردیچوناونوندفترینعضولریفسادناناختلاسدااللریواریمش.",,,,
"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.",هابلهیوخاریرتبهلیقاضیاوانجلوسکالوسیسزندانیالوپچونرشوهیماقنانفاسدرفتارامحکومالوپ.,,,,
"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.",رابرت اصلاً قبول ائله مدی دیه یاشایش هاردان باشلیپ. بو سقط ائله ماقن اخلاقی جنبه لرین نظره آلاندا بیر مهم سوال دی. او ددی کی احتمالی موردلرین جزئیاتین باره سینده نظر ورماق اخلاقی دییر.,,,,
"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","امااوقاباخکیسوزونکیرونانوادپروندهسی""مملکتینتعیینالموشقانونیدی""تکرارائلدیوتاکیدائلدیکیعالیدادگاهندائمیصورتدهحکمورماقیچوخمهمدی.",,,,
He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,اوهابلهتاییدائلدیکیخصوصیحریمقانونناکیروننحکمیاونوناساسندیدیاعتقادیوار.,,,,
"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",ماروچیدوربیرمینجینفراولدیونوسادانکیایکیمینجیاولدیآلتیامتیازچوخگتدی.,,,,
The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,ایکیطرفاصلینیمهنهاییمسابقهلردهکینوسابرندهلر11 امتیازاشادیبیربیرینگورجاخلار.,,,,
Maroochydore then defeated Caboolture in the Preliminary Final.,ماروچیبورسوراکابولتوریاولیهفینالداشکستوردی.,,,,
Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,هسپرونیکوسالیزابث،درومیسوروسخانوادهسیننبیرنوعیدیوولاسیرپترنعمولسیدی.,,,,
"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.",فکرالوردیبوقنتلی،قانیایسسیشکارائلینقوشصافایکیایاقیناوسدوندهیریروپنجهلریولاسیرپترهتایدی.,,,,
"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","ایکینجیپنجهسیداهابویوکایدیوبو،""""غربپنجهسی"" معنیسینیورنهسپرونیکوسادینیوردی.""",,,,
"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.",بوزیسندرماخدانعلاوه،خشنهواوضعیتینجاتتاپماخدانمانعائلوردلار.,,,,
